Threads,m5.12xlarge,m5d.24xlarge,c5d.9xlarge,c5d.18xlarge,gce.n1-standard-96
1,1265.77,1262.06,1227.8,1228.26,904.75
2,2395.03,2471.29,2406.08,2401.11,1870.22
4,4768.5,4691.86,4773.12,4625.9,3513.63
8,9338.83,9237.46,9334.3,9107.63,6990.49
12,13554.33,13603.88,13112.17,13497.11,10121.54
16,17018.47,17909.05,15731.87,17745.19,12933.22
20,19559,22185.41,17755.95,21655.97,15631.41
24,21570.36,25898.27,18832.21,24830.36,18664.26
30,23646.43,31011.24,24285.73,28613.84,21455.37
36,26074.58,34857.49,31329.32,31931.37,23594.94
42,32663.37,38141.69,31171.16,33759.56,25061.66
48,39095.84,40755.52,30824.06,35596.92,26410.39
56,38763.14,43423.67,30567.31,41022.56,28277.6
64,38307.01,45791.34,30483.7,49056.68,30894.86
72,38016.81,49338.21,30504.17,58140.84,33913.95
80,37990.24,57263.65,30227.47,57414.28,40847.05
90,38099.02,65448.18,30058.98,56810.35,49595.22
100,37805.4,71815.08,29709.41,56025.96,56569.86
128,37343.67,71134.12,29021.73,55822,55012.86
192,35976.13,69581.45,27665.97,52944.75,54699.59
256,34897.15,66604.79,31003.29,51025.37,53364.88
512,38466.43,62648.34,30928.03,55792.19,49968.71
1024,38416.31,68831.86,30713.47,54902.98,45820.81
