Threads	r4.4xlarge	m4.4xlarge	m5.4xlarge	m5.12xlarge	m5.24xlarge	c5.4xlarge	c5.9xlarge	c5.18xlarge	gce.n1-standard-96
1	699.06	689.06	1026.56	1265.77	1262.06	1079.69	1227.8	1228.26	904.75
2	1357.96	1310.22	2030.43	2395.03	2471.29	2137.98	2406.08	2401.11	1870.22
4	2453.02	2363.17	3954	4768.5	4691.86	4130.72	4773.12	4625.9	3513.63
8	3619.32	3469.36	6666.22	9338.83	9237.46	7020.09	9334.3	9107.63	6990.49
12	5601.43	5464.96	8709.23	13554.33	13603.88	9124.05	13112.17	13497.11	10121.54
16	8954.11	8772.25	13336.16	17018.47	17909.05	14419.3	15731.87	17745.19	12933.22
20	8686	8569.28	13271.17	19559	22185.41	14251.25	17755.95	21655.97	15631.41
24	8496.93	8371.08	13078.31	21570.36	25898.27	14079.52	18832.21	24830.36	18664.26
30	8697.26	8608.41	13192.04	23646.43	31011.24	14132.51	24285.73	28613.84	21455.37
36	8778.22	8617.68	13185.54	26074.58	34857.49	14184.91	31329.32	31931.37	23594.94
42	8713.08	8615.98	13159.65	32663.37	38141.69	14150.3	31171.16	33759.56	25061.66
48	8701.44	8572.35	13147.14	39095.84	40755.52	14053.7	30824.06	35596.92	26410.39
56	8684.27	8551.74	12985.79	38763.14	43423.67	13878.7	30567.31	41022.56	28277.6
64	8638.72	8468.45	12876.7	38307.01	45791.34	13725.97	30483.7	49056.68	30894.86
72	8636.91	8475.54	12734.51	38016.81	49338.21	13504.28	30504.17	58140.84	33913.95
80	8601.12	8411.6	12690.91	37990.24	57263.65	13402.69	30227.47	57414.28	40847.05
90	8563.64	8369.86	12607.77	38099.02	65448.18	13231.28	30058.98	56810.35	49595.22
100	8610.1	8413.7	12805.31	37805.4	71815.08	13491.27	29709.41	56025.96	56569.86
128	8700.27	8543.6	13288.86	37343.67	71134.12	14278.43	29021.73	55822	55012.86
192	8659.93	8467.11	13231.09	35976.13	69581.45	14206.82	27665.97	52944.75	54699.59
256	8554.04	8439.37	13218.36	34897.15	66604.79	14196.74	31003.29	51025.37	53364.88
512	8668.8	8494.51	13166.31	38466.43	62648.34	14148.7	30928.03	55792.19	49968.71
1024	8587.19	8446.96	12995.24	38416.31	68831.86	14035.71	30713.47	54902.98	45820.81
Best	8954.11	8772.25	13336.16	39095.84	71815.08	14419.3	31329.32	58140.84	56569.86
Price $/h	1.064	0.8	0.768	2.304	4.608	0.68	1.53	3.06	3.193
TPS/$	8415.52	10965.31	17364.79	16968.68	15584.87	21204.85	20476.68	19000.27	17716.84
